Chip Run Filename,D:\RT-PCR\Blood\ChipRun.bml,,,,,,,,,,,,,,,,,,,
Application Version,1.4.2,,,,,,,,,,,,,,,,,,,
Application Build,20070522.1,,,,,,,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Detectors),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Quality,Call
S48-A01,,NTC,1,,MX1,Test,B-actin,28.68084348,0.93,Pass,0.053812245,999,0,Fail,-0.673979267,0.826666667,Pass,999,0,Fail
S48-A02,,NTC,1,,IRF7,Test,B-actin,28.78099899,0.8,Pass,0.036827459,999,0,Fail,-0.573823761,0.8,Pass,999,0,Fail
S48-A03,,NTC,1,,G1P3,Test,B-actin,32.40187608,0.77,Pass,0.019982874,999,0,Fail,3.047053329,0.77,Pass,999,0,Fail
S48-A04,,NTC,1,,OASL,Test,B-actin,27.40800854,0.96,Pass,0.065237931,999,0,Fail,-1.946814213,0.826666667,Pass,999,0,Fail
S48-A05,,NTC,1,,IFIT4,Test,B-actin,34.26736116,0.69,Pass,0.019915253,999,0,Fail,4.912538406,0.69,Pass,999,0,Fail
S48-A06,,NTC,1,,INFA5,Test,B-actin,999,0,Fail,0.072222612,999,0,Fail,999,0,Fail,999,0,Fail
S48-A07,,NTC,1,,TNF ALPHA,Test,B-actin,999,0,Fail,0.035619194,999,0,Fail,999,0,Fail,999,0,Fail
S48-A08,,NTC,1,,PI3,Test,B-actin,999,0,Fail,0.033657989,999,0,Fail,999,0,Fail,999,0,Fail
S48-A09,,NTC,1,,IL-10,Test,B-actin,999,0,Fail,0.052633033,999,0,Fail,999,0,Fail,999,0,Fail
S48-A10,,NTC,1,,IFIT1,Test,B-actin,29.34677648,0.84,Pass,0.061441596,999,0,Fail,-0.008046267,0.826666667,Pass,999,0,Fail
S48-A11,,NTC,1,,G1P2/ISG15,Test,B-actin,31.10000916,0.41,Fail,0.01597179,999,0,Fail,1.74518641,0.41,Fail,999,0,Fail
S48-A12,,NTC,1,,IFI44,Test,B-actin,999,0,Fail,0.057802747,999,0,Fail,999,0,Fail,999,0,Fail
S48-A13,,NTC,1,,PRKR,Test,B-actin,999,0,Fail,0.042447337,999,0,Fail,999,0,Fail,999,0,Fail
S48-A14,,NTC,1,,INFB1,Test,B-actin,999,0,Fail,0.045050435,999,0,Fail,999,0,Fail,999,0,Fail
S48-A15,,NTC,1,,CCL-24,Test,B-actin,999,0,Fail,0.04242992,999,0,Fail,999,0,Fail,999,0,Fail
S48-A16,,NTC,1,,IL-6,Test,B-actin,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,0,Fail
S48-A17,,NTC,1,,PBEF,Test,B-actin,30.52600843,0.95,Pass,0.065920425,999,0,Fail,1.171185682,0.826666667,Pass,999,0,Fail
S48-A18,,NTC,1,,DDX58/RIG-1,Test,B-actin,28.40260412,0.98,Pass,0.082450283,999,0,Fail,-0.952218635,0.826666667,Pass,999,0,Fail
S48-A19,,NTC,1,,OAS3,Test,B-actin,999,0,Fail,0.059583791,999,0,Fail,999,0,Fail,999,0,Fail
S48-A20,,NTC,1,,LY6E,Test,B-actin,999,0,Fail,0.033133264,999,0,Fail,999,0,Fail,999,0,Fail
S48-A21,,NTC,1,,APOBEC3B,Test,B-actin,999,0,Fail,0.049384689,999,0,Fail,999,0,Fail,999,0,Fail
S48-A22,,NTC,1,,IL1A,Test,B-actin,31.4132,0.6,Fail,0.019695109,999,0,Fail,2.058377252,0.6,Fail,999,0,Fail
S48-A23,,NTC,1,,IL1B,Test,B-actin,25.87849581,0.97,Pass,0.092491138,999,0,Fail,-3.47632694,0.826666667,Pass,999,0,Fail
S48-A24,,NTC,1,,IRF5,Test,B-actin,999,0,Fail,0.068747972,999,0,Fail,999,0,Fail,999,0,Fail
S48-A25,,NTC,1,,NK4(IL-32),Test,B-actin,30.64615493,0.83,Pass,0.035987112,999,0,Fail,1.291332183,0.826666667,Pass,999,0,Fail
